USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.7  0.1  44784 22804 ?        Ss   09:36   0:02 /usr/lib/systemd/systemd --switched-root --system --deserialize=60 rhgb
root        1145  0.0  0.1 769072 31484 ?        Ss   09:37   0:00 /usr/bin/abrt-dump-journal-oops -fxtD
root        1146  0.0  0.1 780236 31320 ?        Ss   09:37   0:00 /usr/bin/abrt-dump-journal-xorg -fxtD
root        1169  0.3  0.1 560064 23912 ?        Ssl  09:37   0:00 /usr/bin/NetworkManager --no-daemon
root        1193  0.1  0.0  16444 10556 ?        Ss   09:37   0:00 /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -u -s
root        1207  0.0  0.0 252420 11832 ?        Ss   09:37   0:00 /usr/bin/cupsd -l
root        1209  0.0  0.0 282388  8632 ?        Ssl  09:37   0:00 /usr/bin/gssproxy -i
root        1219  0.1  0.2 671084 32308 ?        Ssl  09:37   0:00 /usr/sbin/rsyslogd -n
root        1220  0.0  0.2 499536 36428 ?        Ssl  09:37   0:00 /usr/bin/python3 -Es /usr/sbin/tuned -l -P
postgres    1226  0.0  0.1 450304 31904 ?        Ss   09:37   0:00 /usr/bin/postgres -D /var/lib/pgsql/data
root        1240  0.1  0.3 1698096 49976 ?       Ssl  09:37   0:00 /usr/bin/containerd
root        1263  0.0  0.0   5120  3248 ?        Ss   09:37   0:00 /usr/sbin/atd -f
root        1264  0.0  0.0 232568  4116 ?        Ss   09:37   0:00 /usr/sbin/crond -n
root        1265  0.0  0.0 609348 10860 ?        Ssl  09:37   0:00 /usr/bin/gdm
zephyrus    1267  0.3  0.1  25832 16992 ?        Ss   09:37   0:00 /usr/lib/systemd/systemd --user
postgres    1288  0.0  0.0 296908  5412 ?        Ss   09:37   0:00 postgres: logger 
postgres    1322  0.0  0.0 450304  6400 ?        Ss   09:37   0:00 postgres: io worker 0
postgres    1323  0.0  0.0 450304  5928 ?        Ss   09:37   0:00 postgres: io worker 2
postgres    1325  0.0  0.0 450304  5924 ?        Ss   09:37   0:00 postgres: io worker 1
postgres    1326  0.0  0.0 450440  6152 ?        Ss   09:37   0:00 postgres: checkpointer 
postgres    1327  0.0  0.0 450460  7400 ?        Ss   09:37   0:00 postgres: background writer 
zephyrus    1330  0.0  0.0  16776  3252 ?        S    09:37   0:00 (sd-pam)
postgres    1335  0.0  0.0 450304 10388 ?        Ss   09:37   0:00 postgres: walwriter 
postgres    1336  0.0  0.0 451888  9260 ?        Ss   09:37   0:00 postgres: autovacuum launcher 
postgres    1337  0.0  0.0 451752  8344 ?        Ss   09:37   0:00 postgres: logical replication launcher 
mysql       1346  0.4  2.9 1943248 465700 ?      Ssl  09:37   0:01 /usr/libexec/mysqld --basedir=/usr
root        1422  0.0  0.5 1763860 89532 ?       Ssl  09:37   0:00 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root        1427  0.0  0.2 498048 34268 ?        Ssl  09:37   0:00 /usr/bin/python3 -Es /usr/sbin/tuned-ppd -l
root        1736  0.0  0.0      0     0 ?        S<   09:37   0:00 [krfcommd]
colord      1910  0.0  0.0 538708 13376 ?        Ssl  09:37   0:00 /usr/libexec/colord
root        2036  0.0  0.0 625580  8812 ?        Ssl  09:37   0:00 /usr/bin/pcscd --foreground --auto-exit
geoclue     2131  0.0  0.2 1520236 41548 ?       Ssl  09:37   0:00 /usr/libexec/geoclue
root        2830  0.0  0.0 405716 14676 ?        Sl   09:37   0:00 gdm-session-worker [pam/gdm-password]
zephyrus    2959  0.0  0.0 407356  8516 ?        SLl  09:37   0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
zephyrus    3034  0.0  0.0 391676  6452 tty2     Ssl+ 09:37   0:00 /usr/libexec/gdm-wayland-session /usr/bin/gnome-session
zephyrus    3049  0.0  0.0   9100  4664 ?        Ss   09:37   0:00 /usr/bin/dbus-broker-launch --scope user
zephyrus    3069  0.1  0.0   9208  5292 ?        S    09:37   0:00 dbus-broker --log 10 --controller 9 --machine-id ccf4b3ca79364cdba4362b837606e488 --max-bytes 100000000000000 --max-fds 25000000000000 --max-matches 5000000000
zephyrus    3071  0.0  0.0 163832  6256 tty2     Sl+  09:37   0:00 /usr/libexec/gnome-session-init-worker gnome
zephyrus    3135  0.0  0.0 311804  5868 ?        Ssl  09:37   0:00 /usr/libexec/gnome-session-ctl --monitor
zephyrus    3136  0.0  0.0 382080 10352 ?        Ssl  09:37   0:00 /usr/libexec/uresourced --user
zephyrus    3144  0.0  0.0 839176 11820 ?        Ssl  09:37   0:00 /usr/libexec/gnome-session-service --session=gnome
zephyrus    3145  0.0  0.0 540112 10148 ?        Ssl  09:37   0:00 /usr/libexec/gvfsd
zephyrus    3154  0.0  0.0 613632  7288 ?        Sl   09:37   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
zephyrus    3174  0.0  0.1 335040 20072 ?        S<sl 09:37   0:00 /usr/bin/pipewire
zephyrus    3176  0.2  0.2 945788 33752 ?        S<Lsl 09:37   0:00 /usr/bin/wireplumber
zephyrus    3177  9.2  1.7 7307520 275076 ?      Ssl  09:37   0:23 /usr/bin/gnome-shell
zephyrus    3237  0.0  0.0 380968  8056 ?        Ssl  09:37   0:00 /usr/libexec/at-spi-bus-launcher
zephyrus    3243  0.0  0.0   8972  4432 ?        S    09:37   0:00 /usr/bin/dbus-broker-launch --config-file=/usr/share/defaults/at-spi2/accessibility.conf --scope user
zephyrus    3244  0.0  0.0   5088  3340 ?        S    09:37   0:00 dbus-broker --log 10 --controller 9 --machine-id ccf4b3ca79364cdba4362b837606e488 --max-bytes 100000000000000 --max-fds 6400000 --max-matches 5000000000
zephyrus    3245  0.0  0.0 168428  7932 ?        Ssl  09:37   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
zephyrus    3265  0.0  0.0 530848  6584 ?        Ssl  09:37   0:00 /usr/libexec/xdg-permission-store
zephyrus    3289  0.0  0.2 2983136 35208 ?       Ssl  09:37   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
zephyrus    3325  0.1  0.0 612324 14172 ?        Ssl  09:37   0:00 /usr/bin/ibus-daemon --panel disable
zephyrus    3326  0.0  0.0 478700 10956 ?        Ssl  09:37   0:00 /usr/libexec/gsd-a11y-settings
zephyrus    3333  0.0  0.0 617312 11672 ?        Ssl  09:37   0:00 /usr/libexec/gsd-color
zephyrus    3338  0.0  0.0 490268 13888 ?        Ssl  09:37   0:00 /usr/libexec/gsd-datetime
zephyrus    3343  0.0  0.0 617060 11784 ?        Ssl  09:37   0:00 /usr/libexec/gsd-housekeeping
zephyrus    3348  0.0  0.0 606620  8132 ?        Ssl  09:37   0:00 /usr/libexec/gsd-keyboard
zephyrus    3351  0.0  0.0 779684 15312 ?        Ssl  09:37   0:00 /usr/libexec/gsd-media-keys
zephyrus    3357  0.0  0.0 618364 12076 ?        Ssl  09:37   0:00 /usr/libexec/gsd-power
zephyrus    3358  0.0  0.0 314532 10260 ?        Sl   09:37   0:00 /usr/libexec/gsd-disk-utility-notify
zephyrus    3359  0.0  0.1 559288 16244 ?        Ssl  09:37   0:00 /usr/libexec/gsd-print-notifications
zephyrus    3365  0.0  0.0 680436  8120 ?        Ssl  09:37   0:00 /usr/libexec/gsd-rfkill
zephyrus    3370  0.0  0.0 393272  7432 ?        Ssl  09:37   0:00 /usr/libexec/gsd-screensaver-proxy
zephyrus    3376  0.0  0.0 691400 13672 ?        Ssl  09:37   0:00 /usr/libexec/gsd-sharing
zephyrus    3378  0.0  0.0 616696 13632 ?        Ssl  09:37   0:00 /usr/libexec/gsd-smartcard
zephyrus    3381  0.0  0.0 473384 10532 ?        Ssl  09:37   0:00 /usr/libexec/gsd-sound
